CHL(mg/m^3),SST(°C),salinity(ppt),salinity(PSU),Wind_Speed_ERA5(m/s),Wind_Direction_ERA5(degree north),TP(mm),STD_200Km,STD_100Km,SST_STD_12months(°C),SST_STD_6months(°C),Salinity_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_Month_Status
3.17858,25.71,16537.43333,36.53743333,0.427073012,-162.9196599,0.00351,0.3251,0.4342,1.293347495,0.951846524,63.9009987,Not Bloom,-0.1091,1.40647,NON_BLOOM
1.40647,23.325,16510.93333,36.51093333,0.836599552,175.4704777,0.00217,0.5217,0.6636,1.335315909,1.313168613,60.90025367,Not Bloom,-0.1419,1.77819,NON_BLOOM
1.77819,22.8,16491.81481,36.49181481,1.027375806,48.32381201,0.00291,0.3696,0.4257,1.477450589,1.636664969,57.59661538,Not Bloom,-0.0561,3.35567,NON_BLOOM
3.35567,24.13,16450.8,36.4508,2.300338461,55.51132704,0.00052,0.4051,0.3113,1.531529,1.680715167,50.57690918,Not Bloom,0.0938,2.46134,NON_BLOOM
2.46134,26.07,16516.68966,36.51668966,2.184687004,49.70233228,0.00001,0.4228,0.3666,1.537529754,1.587656598,29.71832355,Not Bloom,0.0562,2.04157,NON_BLOOM
2.04157,27.565,16511.86667,36.51186667,2.243342808,25.35963899,0,0.4322,0.5852,1.540160976,1.663534557,26.96964617,Not Bloom,-0.153,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,5.37406,
5.37406,26.635,16233.55172,36.23355172,3.354303661,6.706280747,0,0.5634,0.5904,1.634948341,0.727759118,122.2818028,Not Bloom,-0.027,12.89114,BLOOM
12.89114,26.845,16285.9,36.2859,1.960141635,19.4057583,0,0.4734,0.5542,1.640698318,0.613741372,130.2634705,Bloom,-0.0808,8.43726,NON_BLOOM
8.43726,26.46,16440.34483,36.44034483,0.900681781,30.58731506,0.00003,0.5129,0.638,1.603261433,0.616610358,123.3251902,Not Bloom,-0.1251,2.3646,NON_BLOOM
