Chl_a(mg/L),SST(øC),salinity(ppt),Wind_Speed_Era5(m/s),Wind_direction_ERA5(degree of north),TP(mm),STD:200KM,STD:100KM,STD_SST_12months,STD_SST_6months(øC),salinty_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_month_Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1.20432,24.965,17306.46667,0.427073012,-162.9196599,3.51,0.5249,0.4672,3.036632907,2.176567283,224.9202233,NON_BLOOM,0.0577,1.32697,NON_BLOOM
1.32697,22.635,17118.63333,0.836599552,175.4704777,2.17,0.9373,0.9032,3.098471033,3.024649658,244.6313695,NON_BLOOM,0.0341,6.58339,NON_BLOOM
6.58339,21.945,17059.55556,1.027375806,48.32381201,2.91,0.8188,0.6928,3.213735792,3.305927022,278.1891158,NON_BLOOM,0.126,1.65028,NON_BLOOM
1.65028,23.265,16842.06667,2.300338461,55.51132704,0.52,0.5631,0.5003,3.306727255,2.947442983,326.9934284,NON_BLOOM,0.0628,4.82347,NON_BLOOM
4.82347,25.385,16800.55172,2.184687004,49.70233228,0.01,0.7706,0.6188,3.287892853,2.094130189,245.7298226,NON_BLOOM,0.1518,1.48729,NON_BLOOM
1.48729,27.81,16875.06667,2.243342808,25.35963899,0,0.8074,0.6772,3.291556828,1.971548496,178.8260454,NON_BLOOM,0.1302,0.42939,NON_BLOOM
0.42939,30.955,17026.58621,2.52274208,22.58084787,0,0.7012,0.5842,3.364203307,3.182752674,119.596814,NON_BLOOM,0.117,1.38735,NON_BLOOM
1.38735,31.845,17369.63333,3.636255943,4.349933559,0,0.5599,0.584,3.407289036,3.691844334,191.9617966,NON_BLOOM,-0.0241,0.87771,NON_BLOOM
0.87771,32.795,17660.2,3.787279087,4.303427398,0,0.4689,0.4229,3.600450396,3.489558731,315.8580579,NON_BLOOM,0.046,0.94276,NON_BLOOM
0.94276,31.735,17804.55172,3.354303661,6.706280747,0,0.5166,0.4667,3.722952924,2.620009144,383.4868827,NON_BLOOM,0.0499,0.96265,NON_BLOOM
0.96265,30.04,17737.3,7.849308462,175.2287455,0,0.4848,0.2782,3.730541995,1.605404068,355.9391377,NON_BLOOM,0.2066,3.371,NON_BLOOM
3.371,27.7,17796.10345,1.904737795,13.92289878,0.03,0.5659,0.3755,3.726488773,1.640414074,282.1342824,NON_BLOOM,0.1904,1.07673,NON_BLOOM
1.07673,25.73,17449.36667,0.80433351,15.42959634,0.44,0.5208,0.3826,3.68738239,2.508212206,168.6579911,NON_BLOOM,0.1382,1.54676,NON_BLOOM
1.54676,23.04,17146.66667,0.97446732,65.59546192,0.22,1.0053,0.9702,3.642880876,3.401178309,234.8649199,NON_BLOOM,0.0351,5.19449,NON_BLOOM
5.19449,23.61,16965.33333,1.336006668,60.00412773,0.23,0.5834,0.4239,3.448031343,3.186819753,328.7165875,NON_BLOOM,0.1595,10.66112,BLOOM
