CHL,SST,Salinity,Wind_Speed_ERA5,Wind_direction_ERA5,TP,STD:200KM,STD:100KM,STD_SST_12M,STD_SST_6month,salinty_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_month_Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1.73999,26.015,18277.76667,0.750377848,113.7550777,0.00144,0.6283,0.6086,3.110570687,2.092459511,271.0249793,NON_BLOOM,0.0197,1.62573,NON_BLOOM
1.62573,22.98,18053.56667,0.946695694,98.45074663,0.00118,0.9838,0.9239,3.16629392,3.073176514,270.9050234,NON_BLOOM,0.0599,2.14743,NON_BLOOM
2.14743,22.14,17886,0.95865982,97.73121973,0.00127,0.8629,0.7737,3.268979491,3.260254336,282.2330959,NON_BLOOM,0.0892,2.44568,NON_BLOOM
2.44568,23.145,17217.6,3.528490286,46.25788466,0.00057,0.6635,0.4577,3.400887037,2.991213522,461.5902413,NON_BLOOM,0.2058,2.79695,NON_BLOOM
2.79695,25.77,17111.34483,2.258280772,38.85040926,0.00001,0.8068,0.6562,3.37626918,2.177428561,468.0229876,NON_BLOOM,0.1506,1.28185,NON_BLOOM
1.28185,27.58,17158.83333,1.75799359,35.46097411,0,0.7936,0.7242,3.376154818,1.959778899,469.8735001,NON_BLOOM,0.0694,0.73886,NON_BLOOM
0.73886,30.62,17659.93103,1.661773142,40.80680973,0,0.7683,0.6454,3.406990873,2.991715993,371.2451515,NON_BLOOM,0.1229,1.10468,NON_BLOOM
1.10468,32.32,18660.7,1.523498961,38.11098312,0,0.544,0.5191,3.47046194,3.690226299,545.9896776,NON_BLOOM,0.0249,0.90497,NON_BLOOM
0.90497,33.005,18310.13333,1.569601105,43.64139318,0,0.4557,0.4404,3.564362671,3.559296513,601.0813648,NON_BLOOM,0.0153,1.19323,NON_BLOOM
1.19323,32.11,18519.31034,1.215788859,61.1219924,0.00001,0.6603,0.4582,3.700251939,2.666746483,627.0684304,NON_BLOOM,0.2021,1.64778,NON_BLOOM
1.64778,30.64,18998.53333,1.194763236,67.99962331,0,0.6125,0.419,3.726689401,1.777278858,624.2017563,NON_BLOOM,0.1935,5.86395,NON_BLOOM
5.86395,28.27,18726.44828,0.753179897,85.95569642,0.00003,0.6661,0.6275,3.725447098,1.558108941,421.3421181,NON_BLOOM,0.0386,3.11412,NON_BLOOM
3.11412,25.93,18362,0.525996074,119.2948605,0.00008,0.5769,0.6011,3.729070948,2.515595385,232.9494832,NON_BLOOM,-0.0242,1.64744,NON_BLOOM
1.64744,23.515,18041.8,1.445148167,98.96402446,0.00001,0.9425,1.148,3.673049062,3.376337595,306.84875,NON_BLOOM,-0.2055,11.25896,BLOOM
11.25896,23.275,17530.81481,1.727918963,53.065848,0.00051,0.7532,0.4993,3.535001179,3.357473008,475.4178296,BLOOM,0.2539,4.03405,NON_BLOOM
